,t,model_h0,dt
670,6607.98901194,0.370641487887,9.18184796528
671,6617.16812451,0.370862052764,9.17911256237
672,6626.34450709,0.371082377355,9.17638258376
673,6635.5181651,0.371302462325,9.17365800958
674,6644.68910392,0.371522308337,9.17093882007
675,6653.85732892,0.37174191605,9.16822499558
676,6663.02284543,0.37196128612,9.16551651655
677,6672.1856588,0.372180419201,9.16281336354
678,6681.34577431,0.372399315944,9.1601155172
679,6690.50319727,0.372617976997,9.15742295829
680,6699.65793294,0.372836403004,9.15473566767
681,6708.80998656,0.373054594608,9.1520536263
682,6717.95936338,0.373272552447,9.14937681524
683,6727.1060686,0.373490277159,9.14670521565
684,6736.2501074,0.373707769377,9.14403880879
685,6745.39148498,0.373925029732,9.14137757603
686,6754.53020648,0.374142058853,9.1387214988
687,6763.66627704,0.374358857364,9.13607055867
688,6772.79970178,0.374575425889,9.13342473729
689,6781.93048579,0.374791765047,9.13078401639
690,6791.05863417,0.375007875456,9.12814837781
691,6800.18415197,0.375223757731,9.1255178035
692,6809.30704425,0.375439412484,9.12289227547
693,6818.42731602,0.375654840324,9.12027177584
694,6827.54497231,0.375870041859,9.11765628683
695,6836.6600181,0.376085017691,9.11504579073
696,6845.77245837,0.376299768423,9.11244026995
697,6854.88229808,0.376514294654,9.10983970697
698,6863.98954216,0.376728596981,9.10724408436
699,6873.09419555,0.376942675997,9.10465338478
700,6882.19626314,0.377156532294,9.102067591
701,6891.29574982,0.37737016646,9.09948668584
702,6900.39266048,0.377583579083,9.09691065224
703,6909.48699995,0.377796770745,9.09433947321
704,6918.57877308,0.378009742029,9.09177313186
705,6927.66798469,0.378222493514,9.08921161137
